id,created_at,username,full_text,retweets,likes,lang
1873880186455994378,Mon Dec 30 23:53:46 +0000 2024,SEHWOT,@PT_Transjakarta s21 beroperasi normal min? kok jam segini blm ada data bus yg aktif ya?,0,0,in
1873873178273124704,Mon Dec 30 23:25:55 +0000 2024,renjunganteng,@PT_Transjakarta pagi min hari ini 4k dan 11w beroperasi gak ya?,0,0,in
1873868925941014605,Mon Dec 30 23:09:01 +0000 2024,virkall_,Selamat pagi @PT_Transjakarta  Malam ini koridor 8 dan transjakarta S11 Jelambar-BSD beroperasi dgn normal kan?,0,0,in
1873781882414129570,Mon Dec 30 17:23:08 +0000 2024,asterishx,@PT_Transjakarta min tgl 31 des rute 7d beroperasi smp jam brp min,0,0,in
1873776139354988905,Mon Dec 30 17:00:19 +0000 2024,honeycrushie,@PT_Transjakarta kak halte cibubur junction beroperasi jam berapa aja kak,0,0,in
1873763944986444021,Mon Dec 30 16:11:51 +0000 2024,RahmaJatur,"@PT_Transjakarta Min, untuk 5C modifikasi tetap beroperasi sampai jam 2? Apa sampai jam 22 saja ya?",0,0,in
1873743667170836978,Mon Dec 30 14:51:17 +0000 2024,dounologi,@PT_Transjakarta min berarti jam 7 malem 1f udah ga beroperasi dong??,0,0,in
1873732864376033761,Mon Dec 30 14:08:21 +0000 2024,srs_watii,"@PT_Transjakarta hi, apakah bis transjakarta 6T dan 6U tgl 31 desember beroperasi seperti biasa hingga 22.00?",0,0,in
1873702722530058378,Mon Dec 30 12:08:35 +0000 2024,seatodaynews,KRL dan Transjakarta Arah Kota Tua Beroperasi 24 Jam di Malam Tahun Baru 2025  https://t.co/okrZCYyaha,0,0,in
1873683149810716885,Mon Dec 30 10:50:48 +0000 2024,bgus_hrmawn,@PT_Transjakarta Besok T11 dan T12 beroperasi sampai jam berapa dari poris Plawad?,0,0,in
1873683050955178187,Mon Dec 30 10:50:25 +0000 2024,bgus_hrmawn,@PT_Transjakarta Besok selain layanan amari 1 - 14 yang beroperasi di atas jam 22.00 apakah ada min?,0,0,in
1873670267639337194,Mon Dec 30 09:59:37 +0000 2024,hnnyyrr,"@PT_Transjakarta Min, berarti 1K blok m - cibubur engga beroperasi yaa?",0,0,in
