id,created_at,username,full_text,retweets,likes,lang,original_tweet,cleaned_full_text
1.78256e+18,Mon Apr 22 23:57:35 +0000 2024,afsheen_15,"@PT_Transjakarta Kalau BENAR2 rute 9 n 9C niat d PISAH itu spt rute 9N, penumpang SANGAT sdkt tapi pintu PALING NYAMAN. Sama dgn pintu F khusus Pluit n tdk bercampur dgn penumpang rute 9C. Tapi MISI nya tiap busway jalan HARUS PENUH. MAKANYA ORG MALAS NAIK TRANSPORTASI UMUM Krn d buat TDK NYAMAN",0,0,in,"@PT_Transjakarta Kalau BENAR2 rute 9 n 9C niat d PISAH itu spt rute 9N, penumpang SANGAT sdkt tapi pintu PALING NYAMAN. Sama dgn pintu F khusus Pluit n tdk bercampur dgn penumpang rute 9C. Tapi MISI nya tiap busway jalan HARUS PENUH. MAKANYA ORG MALAS NAIK TRANSPORTASI UMUM Krn d buat TDK NYAMAN","pt_transjakarta Kalau BENAR2 rute 9 n 9C niat d PISAH itu spt rute 9N , penumpang SANGAT sdkt tapi pintu PALING NYAMAN . Sama dgn pintu F khusus Pluit n tdk bercampur dgn penumpang rute 9C . Tapi MISI nya tiap busway jalan HARUS PENUH . MAKANYA ORG MALAS NAIK TRANSPORTASI UMUM Krn d buat TDK NYAMAN"
1.78256e+18,Mon Apr 22 23:52:48 +0000 2024,afsheen_15,"Min @PT_Transjakarta d pinangranti busway rute 9C DMR-0707 SALAH pintu berhenti d rute 9 😡😡 spt nya MISI spy busway awal brngkt kelihatan PENUH, BKN memberikan KENYAMANAN makanya pintu 9C penumpang tetap d gabung sama rute 9. #percumakomplain",0,0,in,"Min @PT_Transjakarta d pinangranti busway rute 9C DMR-0707 SALAH pintu berhenti d rute 9 😡😡 spt nya MISI spy busway awal brngkt kelihatan PENUH, BKN memberikan KENYAMANAN makanya pintu 9C penumpang tetap d gabung sama rute 9. #percumakomplain","Min pt_transjakarta d pinangranti busway rute 9C DMR - 0707 SALAH pintu berhenti d rute 9 spt nya MISI spy busway awal brngkt kelihatan PENUH , BKN memberikan KENYAMANAN makanya pintu 9C penumpang tetap d gabung sama rute 9 ."
1.78256e+18,Mon Apr 22 23:49:39 +0000 2024,diagus_sugianto,"@txtbpn Berharap segera ad trayek angkot yg bagus, dan ad transportasi seperti transjakarta",0,0,in,"@txtbpn Berharap segera ad trayek angkot yg bagus, dan ad transportasi seperti transjakarta","Berharap segera ad trayek angkot yg bagus , dan ad transportasi seperti transjakarta"
1.7825e+18,Mon Apr 22 19:59:16 +0000 2024,MFHammam,"@Info4_Milanisti Buset dah yg di ganti malah tije, itu rlc ga jelas gitu mainnya di mainin terus",0,0,in,"@Info4_Milanisti Buset dah yg di ganti malah tije, itu rlc ga jelas gitu mainnya di mainin terus","Buset dah yg di ganti malah tije , itu rlc ga jelas gitu mainnya di mainin terus"
1.78249e+18,Mon Apr 22 19:31:38 +0000 2024,USHIJlIMA,inhetin besok di busway benging oake lagu la la la lost you,0,0,in,inhetin besok di busway benging oake lagu la la la lost you,inhetin besok di busway benging oake lagu la la la lost you
1.78246e+18,Mon Apr 22 17:40:28 +0000 2024,oohwoodz,"@jenoiscool tadi tes makeup ini naik busway ke fx sudirman, jalan kaki panas2an di blok m dan makeupnya stay 12 jam lebih  abis pake cushion diemin dulu sampe bener2 nempel, trs pakein setting spray, abis itu pake bedak dan dipress gitu pake puffnya, lalu pake setting spray sampe banjir👌🏻",0,0,in,"@jenoiscool tadi tes makeup ini naik busway ke fx sudirman, jalan kaki panas2an di blok m dan makeupnya stay 12 jam lebih  abis pake cushion diemin dulu sampe bener2 nempel, trs pakein setting spray, abis itu pake bedak dan dipress gitu pake puffnya, lalu pake setting spray sampe banjir👌🏻","tadi tes makeup ini naik busway ke fx sudirman , jalan kaki panas2an di blok m dan makeupnya stay 12 jam lebih abis pake cushion diemin dulu sampe bener2 nempel , trs pakein setting spray , abis itu pake bedak dan dipress gitu pake puffnya , lalu pake setting spray sampe banjir"
1.78245e+18,Mon Apr 22 16:39:51 +0000 2024,Kithscat,aku rasa saksi besar tangisan hebatku selain kamar adalah transjakarta my love,0,0,in,aku rasa saksi besar tangisan hebatku selain kamar adalah transjakarta my love,aku rasa saksi besar tangisan hebatku selain kamar adalah transjakarta my love
1.78244e+18,Mon Apr 22 16:18:27 +0000 2024,keponakanzeus,"@txtdrjkt busway, mrt deket soalnya",0,0,in,"@txtdrjkt busway, mrt deket soalnya","busway , mrt deket soalnya"
1.78244e+18,Mon Apr 22 16:17:53 +0000 2024,putrikuputrimu,"Besok jangan demo lagi plis, pengen pulang naik busway yang sekali ngeng tanpa transit",0,0,in,"Besok jangan demo lagi plis, pengen pulang naik busway yang sekali ngeng tanpa transit","Besok jangan demo lagi plis , pengen pulang naik busway yang sekali ngeng tanpa transit"
1.78244e+18,Mon Apr 22 15:50:27 +0000 2024,LeeAn21_,"@nomsoo__ btw in the busway juga KOCAKIN HIDUP LU DULU YAA KALO GA MASUK DI AKAL LO GA SAMPE DI OTAK LO GA USAH SOK-SOKAN SAMBAT KELIATAN BGT BEGO NYA,BYE",0,0,in,"@nomsoo__ btw in the busway juga KOCAKIN HIDUP LU DULU YAA KALO GA MASUK DI AKAL LO GA SAMPE DI OTAK LO GA USAH SOK-SOKAN SAMBAT KELIATAN BGT BEGO NYA,BYE","btw in the busway juga KOCAKIN HIDUP LU DULU YAA KALO GA MASUK DI AKAL LO GA SAMPE DI OTAK LO GA USAH SOK - SOKAN SAMBAT KELIATAN BGT BEGO NYA , BYE"
